Название;Цена в долларах;Цена в гривнах;Город
 Mitsubishi Outlander 2021 ;25 676 $;685 000 грн;Київ 
 Mitsubishi Pajero Sport 2020 ;43 856 $;1 170 000 грн;Полтава 
 Mitsubishi Outlander 2021 ;23 427 $;625 000 грн; 
 Mitsubishi ASX 2021 ;21 328 $;569 000 грн;Київ 
 Mitsubishi Pajero Sport 2021 ;45 993 $;1 227 000 грн;Київ 
 Mitsubishi Outlander 2021 ;34 448 $;919 000 грн;Житомир 
 Mitsubishi Outlander 2021 ;34 935 $;932 000 грн;Запоріжжя 
 Mitsubishi Outlander 2021 ;28 675 $;765 000 грн;Черкаси 
 Mitsubishi Outlander 2021 ;28 675 $;765 000 грн;Черкаси 
 Mitsubishi Outlander 2020 ;31 861 $;850 000 грн;Кривий Ріг 
 Mitsubishi ASX 2021 ;21 328 $;569 000 грн;Черкаси 
 Mitsubishi ASX 2021 ;26 613 $;710 000 грн;Полтава 
 Mitsubishi Outlander 2021 ;34 448 $;919 000 грн;Київ 
 Mitsubishi Outlander 2021 ;28 675 $;765 000 грн;Черкаси 
 Mitsubishi Outlander 2021 ;30 924 $;825 000 грн;Чернівці 
 Mitsubishi Outlander 2021 ;23 427 $;625 000 грн;Черкаси 
 Mitsubishi ASX 2021 ;21 328 $;569 000 грн;Житомир 
 Mitsubishi Eclipse Cross 2021 ;24 177 $;645 000 грн;Чернівці 
 Mitsubishi Pajero Sport 2020 ;50 041 $;1 335 000 грн;Вінниця 
 Mitsubishi Outlander 2021 ;28 675 $;765 000 грн;Кривий Ріг 
 Mitsubishi Eclipse Cross 2021 ;33 923 $;905 000 грн;Кривий Ріг 
 Mitsubishi Eclipse Cross 2021 ;33 735 $;900 000 грн;Кривий Ріг 
 Mitsubishi Pajero Sport 2021 ;48 729 $; 50 041 $;Полтава 
 Mitsubishi Pajero Sport 2021 ;50 809 $;1 355 500 грн;Одеса 
 Mitsubishi Outlander 2021 ;25 676 $;685 000 грн;Вінниця 
 Mitsubishi Eclipse Cross 2021 ;24 177 $;645 000 грн;Черкаси 
 Mitsubishi Pajero Sport 2021 ;50 041 $;1 335 000 грн;Черкаси 
 Mitsubishi Pajero Sport 2021 ;50 303 $;1 342 000 грн;Житомир 
 Mitsubishi Pajero Sport 2021 ;50 041 $;1 335 000 грн;Вінниця 
 Mitsubishi ASX 2020 ;21 328 $;569 000 грн;Вінниця 
 Mitsubishi Outlander 2021 ;25 676 $;685 000 грн;Харків 
 Mitsubishi ASX 2021 ;28 000 $;747 000 грн;Одеса 
 Mitsubishi Outlander 2021 ;23 202 $;619 000 грн;Харків 
 Mitsubishi Pajero Sport 2020 ;44 568 $;1 189 000 грн;Харків 
 Mitsubishi Eclipse Cross 2021 ;28 300 $;755 000 грн;Київ 
 Mitsubishi Outlander 2021 ;25 676 $;685 000 грн;Київ 
 Mitsubishi L 200 2021 ;35 197 $;939 000 грн;Київ 
 Mitsubishi Eclipse Cross 2021 ;28 300 $;755 000 грн;Київ 
 Mitsubishi Eclipse Cross 2021 ;33 923 $;905 000 грн;Київ 
 Mitsubishi Outlander 2021 ;23 427 $;625 000 грн;Одеса 
